sf_id,company_name,industry,sub_industry,annual_revenue,employee_count,headquarters,full_name,title,department,role_type,authority_level,budget_authority,veto_power,tenure,previous_role,education,key_priorities,pain_points,source_file,extraction_confidence,m_a_score,m_a_rationale,ransomware_score,ransomware_rationale,overall_priority,engagement_approach,extraction_date,psi_version
A-008302,US Sugar,"** Agriculture, Food Processing, Sugar Production",,900M,"3,000",,Eric Edwards,"Senior Vice President, Public Affairs",Executive,SVP,Ultimate Decision Maker,Yes,Yes,,,,,,Organization_Foundation.md,0.9,90,"M&A relevance: President role, Mid-size company",30,Ransomware impact: General stakeholder,Priority 1,Strategic risk management and board-level concerns,2025-06-18 10:14:56,v1.0
A-008302,US Sugar,"** Agriculture, Food Processing, Sugar Production",,900M,"3,000",,James A. Snively,"Vice President, Citrus Groves",Executive,VP,Ultimate Decision Maker,Yes,Yes,,,,,,Organization_Foundation.md,0.9,90,"M&A relevance: President role, Mid-size company",30,Ransomware impact: General stakeholder,Priority 1,Strategic risk management and board-level concerns,2025-06-18 10:14:56,v1.0
A-008302,US Sugar,"** Agriculture, Food Processing, Sugar Production",,900M,"3,000",,Thomas Brannan,Director of Community Relations,Technology,CIO/CTO,Executive Decision Maker,Yes,No,,,ms,,,Organization_Foundation.md,0.9,35,M&A relevance: Mid-size company,90,Ransomware impact: CTO role,Priority 1,IT infrastructure protection and recovery capabilities,2025-06-18 10:14:56,v1.0
A-008302,US Sugar,"** Agriculture, Food Processing, Sugar Production",,900M,"3,000",,Ryan Duffy,Director of Corporate Communications (since 2017),Technology,CIO/CTO,Executive Decision Maker,Yes,No,,,,,,Organization_Foundation.md,0.9,35,M&A relevance: Mid-size company,90,Ransomware impact: CTO role,Priority 1,Ransomware prevention and response strategies,2025-06-18 10:14:56,v1.0
A-008302,US Sugar,"** Agriculture, Food Processing, Sugar Production",,900M,"3,000",,Hendry County,Headquarters and main mill,Executive,Other,Stakeholder,No,No,,,,,,Organization_Foundation.md,0.9,35,"M&A relevance: Other position, Mid-size company",30,Ransomware impact: Other position,Priority 5,M&A cybersecurity due diligence best practices,2025-06-18 10:14:56,v1.0
A-008302,US Sugar,"** Agriculture, Food Processing, Sugar Production",,900M,"3,000",,Railroad Operations,SCFE headquarters,Executive,Other,Stakeholder,No,No,,,,,,Organization_Foundation.md,0.9,35,"M&A relevance: Other position, Mid-size company",30,Ransomware impact: Other position,Priority 5,M&A cybersecurity due diligence best practices,2025-06-18 10:14:56,v1.0
A-008302,US Sugar,"** Agriculture, Food Processing, Sugar Production",,900M,"3,000",,Primary Operations,Hendry County** - Headquarters and main mill,Executive,Other,Stakeholder,No,No,,,,,,Organization_Foundation.md,0.9,35,"M&A relevance: Other position, Mid-size company",30,Ransomware impact: Other position,Priority 5,M&A cybersecurity due diligence best practices,2025-06-18 10:14:56,v1.0
A-008302,US Sugar,"** Agriculture, Food Processing, Sugar Production",,900M,"3,000",,Week 3-4: CISO Engagement,Offer to brief CISO candidates,Security,CISO,Executive Decision Maker,No,No,,,,,,Engagement_Strategy.md,0.9,35,M&A relevance: Mid-size company,95,Ransomware impact: CISO role,Priority 1,Technical threat landscape and security solutions,2025-06-18 10:14:56,v1.0
A-008302,US Sugar,"** Agriculture, Food Processing, Sugar Production",,900M,"3,000",,Industry Knowledge,Food/ag sector expertise,Technology,CIO/CTO,Executive Decision Maker,No,No,,,,,,Engagement_Strategy.md,0.9,35,M&A relevance: Mid-size company,90,Ransomware impact: CTO role,Priority 1,Ransomware prevention and response strategies,2025-06-18 10:14:56,v1.0
A-008302,US Sugar,"** Agriculture, Food Processing, Sugar Production",,900M,"3,000",,Security Considerations,Supply chain attack vectors,Technology,CIO/CTO,Executive Decision Maker,No,No,,,,,,Business_Initiatives.md,0.9,35,M&A relevance: Mid-size company,90,Ransomware impact: CTO role,Priority 1,Ransomware prevention and response strategies,2025-06-18 10:14:56,v1.0
A-008302,US Sugar,"** Agriculture, Food Processing, Sugar Production",,900M,"3,000",,Influence Network,Reports directly to CEO McDuffie,Executive,CEO/President,Ultimate Decision Maker,Yes,Yes,,,,,,US_Sugar_GTM_Part_3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,90,"M&A relevance: CEO role, Mid-size company",85,Ransomware impact: CEO role,Priority 1,Strategic risk management and board-level concerns,2025-06-18 10:14:56,v1.0
A-008302,US Sugar,"** Agriculture, Food Processing, Sugar Production",,900M,"3,000",,Carl Stringer,VP IT and Employee Benefits,Technology,VP,Decision Influencer,Yes,No,,,,,,US_Sugar_GTM_Part_3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,35,M&A relevance: Mid-size company,85,Ransomware impact: VP IT role,Priority 2,IT infrastructure protection and recovery capabilities,2025-06-18 10:14:56,v1.0
A-008302,US Sugar,"** Agriculture, Food Processing, Sugar Production",,900M,"3,000",,Ridgway H. White,Chairman,Executive,Board Member,Ultimate Decision Maker,No,Yes,,,,,,US_Sugar_GTM_Part_3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,90,"M&A relevance: Chairman role, Mid-size company",30,Ransomware impact: General stakeholder,Priority 1,M&A cybersecurity due diligence best practices,2025-06-18 10:14:56,v1.0
A-008302,US Sugar,"** Agriculture, Food Processing, Sugar Production",,900M,"3,000",,Matthew Miller,Sr. Director IT Business Solutions,Technology,CIO/CTO,Executive Decision Maker,Yes,No,,,,,,US_Sugar_GTM_Part_3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,35,M&A relevance: Mid-size company,90,Ransomware impact: CTO role,Priority 1,IT infrastructure protection and recovery capabilities,2025-06-18 10:14:56,v1.0
A-008302,US Sugar,"** Agriculture, Food Processing, Sugar Production",,900M,"3,000",,Derek duPlooy,VP Raw Sugar Operations,Operations,VP,Decision Influencer,Yes,No,,,,,,US_Sugar_GTM_Part_3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,35,M&A relevance: Mid-size company,40,Ransomware impact: Operational responsibility,Priority 4,Emphasize operational resilience and business continuity,2025-06-18 10:14:56,v1.0
A-014610,Veson,,,,,,Building Confidence:,Maritime sector references,Technology,CIO/CTO,Executive Decision Maker,No,No,,,,,,Veson_GTM_Part_3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,30,M&A relevance: General stakeholder,90,Ransomware impact: CTO role,Priority 1,IT infrastructure protection and recovery capabilities,2025-06-18 10:14:56,v1.0
A-014610,Veson,,,,,,Ben Thurecht,Chief Technology Officer,Technology,CIO/CTO,Executive Decision Maker,Yes,No,,,,,,Veson_GTM_Part_3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,30,M&A relevance: General stakeholder,90,Ransomware impact: Chief Technology Officer role,Priority 1,Ransomware prevention and response strategies,2025-06-18 10:14:56,v1.0
A-014610,Veson,,,,,,Sean Riley,President & Chief Operating Officer,Executive,COO,Ultimate Decision Maker,Yes,Yes,,,,,,Veson_GTM_Part_3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,85,M&A relevance: President role,100,Ransomware impact: Chief Operating Officer role,Priority 1,"Business impact, crisis management, and recovery",2025-06-18 10:14:56,v1.0
A-014610,Veson,,,,,,John Veson,CEO & Co-Founder,Executive,CEO/President,Ultimate Decision Maker,Yes,Yes,,,,,,Veson_GTM_Part_3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,85,M&A relevance: CEO role,85,Ransomware impact: CEO role,Priority 2,"Business impact, crisis management, and recovery",2025-06-18 10:14:56,v1.0
A-014610,Veson,,,,,,Eric Christofferson,Chief Product Officer,Executive,Other C-Suite,Executive Decision Maker,Yes,No,,,,,,Veson_GTM_Part_3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,30,M&A relevance: General stakeholder,30,Ransomware impact: General stakeholder,Priority 5,Ransomware prevention and response strategies,2025-06-18 10:14:56,v1.0
A-014610,Veson,,,,,,Russ Hubbard,Chief Commercial Officer,Sales,Other C-Suite,Executive Decision Maker,Yes,No,,,,,,Veson_GTM_Part_3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,30,M&A relevance: General stakeholder,30,Ransomware impact: General stakeholder,Priority 5,Ransomware prevention and response strategies,2025-06-18 10:14:56,v1.0
A-014610,Veson,,,,,,Sean Bridgeo,Chief Financial Officer,Executive,CFO,Executive Decision Maker,Yes,No,,,,,,Veson_GTM_Part_3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,100,M&A relevance: Chief Financial Officer role,75,Ransomware impact: CFO position,Priority 1,M&A cybersecurity due diligence best practices,2025-06-18 10:14:56,v1.0
A-014671,Spellman High Voltage,Classification**: High Voltage Power Electronics Manufacturing,,,"2,100",,Technology Disruption:,"Alternative power conversion technologies (GaN, SiC semiconductors)",Technology,CIO/CTO,Executive Decision Maker,No,No,,,ms,,,Strategic_Context.md,0.9,30,M&A relevance: General stakeholder,90,Ransomware impact: CTO role,Priority 1,Ransomware prevention and response strategies,2025-06-18 10:14:56,v1.0
A-014671,Spellman High Voltage,Classification**: High Voltage Power Electronics Manufacturing,,,"2,100",,Dr. Loren Skeist,CEO & President (Ultimate Authority),Executive,CEO/President,Ultimate Decision Maker,Yes,Yes,,,,,,Spellman_High_Voltage_GTM_Part3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,85,M&A relevance: CEO role,85,Ransomware impact: CEO role,Priority 2,IT infrastructure protection and recovery capabilities,2025-06-18 10:14:56,v1.0
A-014671,Spellman High Voltage,Classification**: High Voltage Power Electronics Manufacturing,,,"2,100",,Mitchell Alexander,CIO/CISO (Technical Authority),Technology,CIO/CTO,Executive Decision Maker,No,No,,,,,,Spellman_High_Voltage_GTM_Part3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,30,M&A relevance: General stakeholder,95,Ransomware impact: CISO role,Priority 1,Technical threat landscape and security solutions,2025-06-18 10:14:56,v1.0
A-014671,Spellman High Voltage,Classification**: High Voltage Power Electronics Manufacturing,,,"2,100",,Robert Kerley,CFO (Financial Authority),Finance,CFO,Executive Decision Maker,Yes,Yes,,,,,,Spellman_High_Voltage_GTM_Part3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,100,M&A relevance: CFO role,75,Ransomware impact: CFO role,Priority 1,Lead with financial risk quantification and M&A valuation impact,2025-06-18 10:14:56,v1.0
A-015484,WMATA,,,,,,The Modernization Alliance,GM/CEO Randy Clarke - Vision holder,Executive,CEO/President,Ultimate Decision Maker,Yes,Yes,,,,,,WMATA_GTM_Part_3_Project_Nightingale.md,0.9,85,M&A relevance: CEO role,85,Ransomware impact: CEO role,Priority 2,"Business impact, crisis management, and recovery",2025-06-18 10:14:56,v1.0
A-015484,WMATA,,,,,,The Financial Gatekeepers,CFO Yetunde Olumide - Budget reality,Finance,CFO,Executive Decision Maker,Yes,Yes,,,,,,WMATA_GTM_Part_3_Project_Nightingale.md,0.9,100,M&A relevance: CFO role,75,Ransomware impact: CFO role,Priority 1,Lead with financial risk quantification and M&A valuation impact,2025-06-18 10:14:56,v1.0
A-015484,WMATA,,,,,,Week 1: Federal Threat Alignment,Private briefing for CISO on transit-specific threats,Security,CISO,Executive Decision Maker,No,No,,,,,,WMATA_GTM_Part_3_Project_Nightingale.md,0.9,30,M&A relevance: General stakeholder,95,Ransomware impact: CISO role,Priority 1,Technical threat landscape and security solutions,2025-06-18 10:14:56,v1.0
A-015484,WMATA,,,,,,Week 2: Technical Deep Dive,OT vulnerability assessment with CISO team,Security,CISO,Executive Decision Maker,No,No,,,,,,WMATA_GTM_Part_3_Project_Nightingale.md,0.9,30,M&A relevance: General stakeholder,95,Ransomware impact: CISO role,Priority 1,Technical threat landscape and security solutions,2025-06-18 10:14:56,v1.0
A-015484,WMATA,,,,,,Week 15-16: Approval Process,Board presentation,Executive,Board Member,Stakeholder,No,No,,,,,,WMATA_GTM_Part_3_Project_Nightingale.md,0.9,80,M&A relevance: Board Member position,30,Ransomware impact: General stakeholder,Priority 2,M&A cybersecurity due diligence best practices,2025-06-18 10:14:56,v1.0
A-015484,WMATA,,,,,,Versus Federal Contractors,Expensive overhead structure,Executive,Other,Stakeholder,No,No,,,,,,WMATA_GTM_Part_3_Project_Nightingale.md,0.9,30,M&A relevance: Other position,30,Ransomware impact: Other position,Priority 5,Ransomware prevention and response strategies,2025-06-18 10:14:56,v1.0
A-015484,WMATA,,,,,,Randy Clarke,General Manager & CEO,Executive,CEO/President,Ultimate Decision Maker,Yes,Yes,,,,,,WMATA_GTM_Part_3_Project_Nightingale.md,0.9,85,M&A relevance: CEO role,85,Ransomware impact: CEO role,Priority 2,"Business impact, crisis management, and recovery",2025-06-18 10:14:56,v1.0
A-015484,WMATA,,,,,,Judd Nicholson,EVP & Chief Digital Officer,Executive,Other C-Suite,Executive Decision Maker,Yes,No,,,,,,WMATA_GTM_Part_3_Project_Nightingale.md,0.9,30,M&A relevance: General stakeholder,30,Ransomware impact: General stakeholder,Priority 5,IT infrastructure protection and recovery capabilities,2025-06-18 10:14:56,v1.0
A-015484,WMATA,,,,,,Joel Waugh,Senior Director of Cybersecurity & CISO,Technology,CIO/CTO,Executive Decision Maker,Yes,No,,,,,,WMATA_GTM_Part_3_Project_Nightingale.md,0.9,30,M&A relevance: General stakeholder,95,Ransomware impact: CISO role,Priority 1,Technical threat landscape and security solutions,2025-06-18 10:14:56,v1.0
A-015484,WMATA,,,,,,Valerie Santos,Board Chair (DC Appointee),Executive,Board Member,Stakeholder,No,No,,,,,,WMATA_GTM_Part_3_Project_Nightingale.md,0.9,80,M&A relevance: Board Member position,30,Ransomware impact: General stakeholder,Priority 2,M&A cybersecurity due diligence best practices,2025-06-18 10:14:56,v1.0
A-017469,AeroDefense,,,,,,Internal Technical Advisory:,Z.G. (CTO) carries significant technical influence,Technology,CIO/CTO,Executive Decision Maker,No,No,,,,,,AeroDefense_GTM_Part_3_Decision_Maker_Profiles_Project_Nightingale.md,0.9,30,M&A relevance: General stakeholder,90,Ransomware impact: CTO role,Priority 1,Ransomware prevention and response strategies,2025-06-18 10:14:56,v1.0
A-017469,AeroDefense,,,,,,L.Z.,Founding CEO,Executive,CEO/President,Ultimate Decision Maker,Yes,Yes,,,,,,AeroDefense_GTM_Part_3_Decision_Maker_Profiles_Project_Nightingale.md,0.9,85,M&A relevance: CEO role,85,Ransomware impact: CEO role,Priority 2,"Business impact, crisis management, and recovery",2025-06-18 10:14:56,v1.0
A-017469,AeroDefense,,,,,,Z.G.,Chief Technology Officer (Radio Frequency Engineer),Technology,CIO/CTO,Executive Decision Maker,Yes,No,,,,,,AeroDefense_GTM_Part_3_Decision_Maker_Profiles_Project_Nightingale.md,0.9,30,M&A relevance: General stakeholder,90,Ransomware impact: Chief Technology Officer role,Priority 1,Ransomware prevention and response strategies,2025-06-18 10:14:56,v1.0
A-017469,AeroDefense,,,,,,T.S.,Chief Operating Officer,Executive,COO,Executive Decision Maker,Yes,No,,,,,,AeroDefense_GTM_Part_3_Decision_Maker_Profiles_Project_Nightingale.md,0.9,70,M&A relevance: COO position,100,Ransomware impact: Chief Operating Officer role,Priority 1,Ransomware prevention and response strategies,2025-06-18 10:14:56,v1.0
A-017469,AeroDefense,,,,,,D.Z.,VP Sales and Operations,Operations,VP,Decision Influencer,Yes,No,,,,,,AeroDefense_GTM_Part_3_Decision_Maker_Profiles_Project_Nightingale.md,0.9,30,M&A relevance: General stakeholder,40,Ransomware impact: Operational responsibility,Priority 4,Emphasize operational resilience and business continuity,2025-06-18 10:14:56,v1.0
A-018814,Boeing Corporation,,,,,,Kelly Ortberg,President & Chief Executive Officer,Executive,CEO/President,Ultimate Decision Maker,Yes,Yes,,,,,,Boeing_Corporation_GTM_Part3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,85,M&A relevance: President role,30,Ransomware impact: General stakeholder,Priority 2,Strategic risk management and board-level concerns,2025-06-18 10:14:56,v1.0
A-018814,Boeing Corporation,,,,,,Dana Deasy,Chief Information Digital Officer,Technology,CIO/CTO,Executive Decision Maker,Yes,No,,,,,,Boeing_Corporation_GTM_Part3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,30,M&A relevance: General stakeholder,30,Ransomware impact: General stakeholder,Priority 5,IT infrastructure protection and recovery capabilities,2025-06-18 10:14:56,v1.0
A-018814,Boeing Corporation,,,,,,Richard Puckett,Chief Security Officer,Security,CISO,Executive Decision Maker,Yes,No,,,,,,Boeing_Corporation_GTM_Part3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,30,M&A relevance: General stakeholder,95,Ransomware impact: Chief Security Officer role,Priority 1,Technical threat landscape and security solutions,2025-06-18 10:14:56,v1.0
A-018814,Boeing Corporation,,,,,,Brian West,Executive Vice President & Chief Financial Officer,Executive,CFO,Ultimate Decision Maker,Yes,Yes,,,,,,Boeing_Corporation_GTM_Part3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,100,M&A relevance: Chief Financial Officer role,75,Ransomware impact: CFO position,Priority 1,Strategic risk management and board-level concerns,2025-06-18 10:14:56,v1.0
A-018814,Boeing Corporation,,,,,,Jenny Koskinen,Chief Procurement Officer,Executive,Other C-Suite,Executive Decision Maker,Yes,No,,,,,,Boeing_Corporation_GTM_Part3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,30,M&A relevance: General stakeholder,30,Ransomware impact: General stakeholder,Priority 5,Ransomware prevention and response strategies,2025-06-18 10:14:56,v1.0
A-018814,Boeing Corporation,,,,,,Stephanie Pope,"President & CEO, Boeing Commercial Airplanes",Sales,CEO/President,Ultimate Decision Maker,Yes,Yes,,,,,,Boeing_Corporation_GTM_Part3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,85,M&A relevance: CEO role,85,Ransomware impact: CEO role,Priority 2,"Business impact, crisis management, and recovery",2025-06-18 10:14:56,v1.0
A-018814,Boeing Corporation,,,,,,Howard McKenzie,Chief Engineer & EVP Engineering,Executive,Other C-Suite,Executive Decision Maker,Yes,No,,,,,,Boeing_Corporation_GTM_Part3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,30,M&A relevance: General stakeholder,30,Ransomware impact: General stakeholder,Priority 5,Ransomware prevention and response strategies,2025-06-18 10:14:56,v1.0
A-018814,Boeing Corporation,,,,,,Todd Citron,Chief Technology Officer,Technology,CIO/CTO,Executive Decision Maker,Yes,No,,,,,,Boeing_Corporation_GTM_Part3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,30,M&A relevance: General stakeholder,90,Ransomware impact: Chief Technology Officer role,Priority 1,Ransomware prevention and response strategies,2025-06-18 10:14:56,v1.0
A-018829,Puget Sound Energy,Sector**: Electric & Natural Gas Utilities,,3.35 billion,,,Phase 1 Success Metrics,Executive Sponsorship**: CEO and COO engagement and support,Operations,CEO/President,Ultimate Decision Maker,Yes,Yes,,,,,,Puget_Sound_Energy_GTM_Part3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,95,"M&A relevance: CEO role, Large company",100,Ransomware impact: COO role,Priority 1,Emphasize operational resilience and business continuity,2025-06-18 10:14:56,v1.0
A-018829,Puget Sound Energy,Sector**: Electric & Natural Gas Utilities,,3.35 billion,,,Phase 3 Success Metrics,Business Case Approval**: Executive and board approval for cybersecurity investment,Security,Board Member,Stakeholder,No,No,,,,,,Puget_Sound_Energy_GTM_Part3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,90,"M&A relevance: Board Member position, Large company",30,Ransomware impact: General stakeholder,Priority 1,M&A cybersecurity due diligence best practices,2025-06-18 10:14:56,v1.0
A-019227,Duke Energy Corporation,,,,,,Contact Initiation,Reach out to Dennis Gilbert (CISO) through industry forum connection,Security,CISO,Executive Decision Maker,No,No,,,,,,Duke_Energy_GTM_Part3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,30,M&A relevance: General stakeholder,95,Ransomware impact: CISO role,Priority 1,Technical threat landscape and security solutions,2025-06-18 10:14:56,v1.0
A-019227,Duke Energy Corporation,,,,,,1.1 Harry K. Sideris,President and Chief Executive Officer,Executive,CEO/President,Ultimate Decision Maker,Yes,Yes,,,,,,Duke_Energy_GTM_Part3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,85,M&A relevance: President role,30,Ransomware impact: General stakeholder,Priority 2,Strategic risk management and board-level concerns,2025-06-18 10:14:56,v1.0
A-019227,Duke Energy Corporation,,,,,,1.2 Dennis Gilbert,Vice President and Chief Information Security Officer,Technology,CIO/CTO,Ultimate Decision Maker,Yes,Yes,,,,,,Duke_Energy_GTM_Part3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,85,M&A relevance: President role,95,Ransomware impact: Chief Information Security Officer role,Priority 1,Technical threat landscape and security solutions,2025-06-18 10:14:56,v1.0
A-019227,Duke Energy Corporation,,,,,,1.3 Bonnie Titone,Senior Vice President and Chief Administrative Officer,Executive,Other C-Suite,Ultimate Decision Maker,Yes,Yes,,,,,,Duke_Energy_GTM_Part3_Decision_Maker_Profiles_Engagement_Strategy_Project_Nightingale.md,0.9,85,M&A relevance: President role,30,Ransomware impact: General stakeholder,Priority 2,Strategic risk management and board-level concerns,2025-06-18 10:14:56,v1.0
